./main <proj1_instances/weighted_chimera_297.txt
8 178.001 -fit: 8584
8584 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111110111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100111110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111001111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
7740 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100011111111001111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
7172 111011101111111110101111111011111111111011110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100001110101111101111011111110111111111111111111101101100111
6928 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001000111111111000111111100111110111101101101111111111110001101111110111100001110101111101111011111110111111111111111111101101100111
-5908 111011101111111110101111111011111111111011110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111100111110011101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-6120 111011101111111110101111111011111111111011110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100111110101111101111011111110111111111111111111101101100111
8 178.006 -fit: 8584
8584 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111110111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100111110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111001111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
7672 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111101110110111000101111110011111111111111111100111001000111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111011101101101111
7496 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100011111111001111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
7084 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001000011111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111011101101101111
6916 111011101111111110101111111011111111111011110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001000111111111000111111100111110111101101101111111111110001101111110111100001110101111101111011111110111111111111111111101101100111
-5564 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111100111110011101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8 178.011 -fit: 8584
8584 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111110111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100111110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111001111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
7484 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001000011111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
7072 111011101111111110101111111011111111111011110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001000011111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111011101101101111
6752 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100011111111001111111100111110111101101101111111111111001101111110111100101110101111101111011111110111111111111111011101101101111
-5564 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111100111110011101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5720 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111100111110011101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8 178.017 -fit: 8584
8584 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111110111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100111110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111001111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
7928 111011101111111110101111111011111111111011110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111011101101101111
6996 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100011111111001111111100111110111101101101111111111111001101111110111100101110101111101111011111110111111111111111011101101101111
-5120 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5564 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111100111110011101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5720 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111100111110011101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8 178.022 -fit: 8584
8584 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111110111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100111110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111001111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
7684 111011111111111110101111111011111111111011110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111011101101101111
6996 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100011111111001111111100111110111101101101111111111111001101111110111100101110101111101111011111110111111111111111011101101101111
-5120 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5564 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111100111110011101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5720 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111100111110011101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8 178.027 -fit: 8584
8584 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111110111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100111110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111001111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
7940 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111001111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111011101101101111
7840 111011111111111110101111111011111111111011110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111001111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5120 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5564 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111100111110011101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5720 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111100111110011101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8 178.033 -fit: 8584
8584 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111110111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100111110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111001111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
7584 111011111111111110101111111001111111111011110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111110111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
7440 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111011100111001100111111111001111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111011101101101111
-5432 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111110111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5564 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111100111110011101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5720 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111100111110011101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8 178.038 -fit: 8584
8584 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111110111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100111110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111001111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
6984 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111011111011010011111111111110110111000101111110011111111111111011100111001100111111111001111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111011101101101111
-5432 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111110111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5564 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111100111110011101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5720 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111100111110011101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5976 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111110111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111110101110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8 178.044 -fit: 8584
8584 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111110111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100111110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111001111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5564 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111100111110011101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5720 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111100111110011101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5776 111001101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111110111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5976 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111110111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111110101110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-6132 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111110111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111110101110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8 178.05 -fit: 8584
8584 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111110111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100111110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111001111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
7384 111011111111111110101111111011111111111011110111110111111101111110110110011110111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5720 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111100111110011101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5776 111001101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111110111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5976 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111110111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111110101110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-6132 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111110111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111110101110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8 178.055 -fit: 8584
8584 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111110111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100111110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111001111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
7140 111011111111111110101111111011111111111011110111110111111101111110110110011110111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111001111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5432 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111001111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5776 111001101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111110111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5976 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111110111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111110101110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-6132 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111110111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111110101110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8 178.06 -fit: 8584
8584 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111110111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100111110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111001111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5432 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111001111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5776 111001101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111110111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5964 111001101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001000111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5976 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111110111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111110101110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-6132 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111110111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111110101110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8 178.066 -fit: 8584
8584 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111110111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100111110101111101111011111110111111111111111111101101101111
8340 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111001111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5276 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111110111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5776 111001101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111110111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5964 111001101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111010101111110011111111111111111100111001000111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-5976 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111110111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111110101110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
-6132 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111110111111111011010011111111111110110111010101111110011111111111111111100111001100111111111000111111110101110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8 178.071 -fit: 8584
8584 111011101111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
8340 111011111111111110101111111011111111111111110111110111111101111110110110011111111101111111111111111111011010011111111111110110111000101111110011111111111111111100111001100111111111000111111100111110111101101101111111111110001101111110111100101110101111101111011111110111111111111111111101101101111
